id,name,price,age,line,station_name,minutes,layout,area,address,url
70690643,藤和西新コープ,1780,49,地下鉄空港線,西新,6,3LDK,84.89,福岡県福岡市早良区城西２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_70690643/
71503871,オーヴィジョン六本松,6480,5,地下鉄七隈線,六本松,6,2LDK,68.0,福岡県福岡市中央区谷２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71503871/
71893185,スワローハイツ山荘通,2180,40,地下鉄七隈線,薬院大通,14,3LDK,79.27,福岡県福岡市中央区平尾４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71893185/
72172682,アーバンパレスアクス大濠,7280,31,地下鉄空港線,唐人町,8,3LDK,96.31,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72172682/
72566908,ネオハイツ南公園,2480,38,地下鉄七隈線,桜坂,12,3LDK,78.89,福岡県福岡市中央区谷２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72566908/
73288262,内覧予約お願いします！オープンレジデンシア薬院南,3280,4,西鉄天神大牟田線,薬院,9,1LDK,32.17,福岡県福岡市中央区平尾３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73288262/
73321324,インペリアル平尾台,1890,51,西鉄天神大牟田線,薬院,13,2LDK,63.69,福岡県福岡市中央区平尾３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73321324/
73326753,サンライフ六本松,4280,42,地下鉄七隈線,六本松,3,3LDK,81.11,福岡県福岡市中央区草香江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73326753/
73331382,アプローズ空港前Ⅱ,3295,23,地下鉄空港線,福岡空港,14,5LDK,109.53,福岡県糟屋郡志免町別府西３,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_73331382/
73662868,サングレート薬院駅ロイヤルウィン,4650,23,西鉄天神大牟田線,薬院,4,1LDK,55.72,福岡県福岡市中央区平尾１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73662868/
73965237,コアマンション赤坂けやき,4480,28,地下鉄七隈線,桜坂,6,4LDK,85.72,福岡県福岡市中央区六本松３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73965237/
74070175,コアマンションけやき通りプレジオ　1012号,16800,24,地下鉄七隈線,六本松,10,3LDK,150.4,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74070175/
74084400,サンポートハイツ,1980,52,地下鉄空港線,大濠公園,8,1LDK,66.82,福岡県福岡市中央区港２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74084400/
74279125,ザ・パークハウス桜坂サンリヤン,16500,8,地下鉄七隈線,桜坂,3,4LDK,105.07,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74279125/
74348936,コスモ警固ロイヤルフォルム,5800,25,地下鉄空港線,赤坂,8,3LDK,66.18,福岡県福岡市中央区警固１-１３－１５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74348936/
74446504,ハイムニュー桜坂,1780,51,地下鉄七隈線,桜坂,4,2LDK,72.03,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74446504/
74487193,ライオンズマンション桜坂,2290,43,地下鉄七隈線,桜坂,6,2LDK,66.56,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74487193/
74551502,東峰マンション第二西公園,2480,44,地下鉄空港線,大濠公園,9,3LDK,73.55,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74551502/
74639069,ザ・サンメゾン大濠1丁目ELDO,29000,13,地下鉄空港線,唐人町,12,6LDK,211.7,福岡県福岡市中央区大濠１-5-14,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74639069/
74640602,ザ・サンメゾン大濠一丁目ELDO,29000,13,地下鉄七隈線,六本松,10,4LDK+3S（納戸）,216.42,福岡県福岡市中央区大濠１-5-14,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74640602/
74671558,ティアラ薬院,4580,35,地下鉄七隈線,薬院大通,3,2LDK,87.4,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74671558/
74944975,ロマネスク桜坂ルネッサンス,2800,38,地下鉄七隈線,桜坂,9,3LDK,76.77,福岡県福岡市中央区谷２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74944975/
74988832,イトーピア六本松,3500,32,地下鉄七隈線,六本松,7,3LDK,69.48,福岡県福岡市中央区六本松４-6-18,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74988832/
74991725,オーセントスクエア室見アーバンコンフォート,3200,22,地下鉄空港線,藤崎,15,2LDK,60.03,福岡県福岡市早良区室見４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74991725/
