name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
ウイング藤崎,1380,福岡県福岡市早良区弥生２,地下鉄空港線「藤崎」徒歩14分,47.64,2LDK,1984年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75959628/,藤崎,地下鉄空港線,14,1984-12-01,40
愛宕山ハイリビング,1400,福岡県福岡市西区愛宕２,地下鉄空港線「藤崎」徒歩19分,58.23,2LDK,1974年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73336391/,藤崎,地下鉄空港線,19,1974-05-01,50
エクシードマンション室見,1630,福岡県福岡市早良区南庄１,地下鉄空港線「藤崎」徒歩18分,63.63,3LDK,1985年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76069174/,藤崎,地下鉄空港線,18,1985-12-01,39
グランピア空港前,1649,福岡県福岡市博多区青木１,地下鉄空港線「東比恵」徒歩48分,56.07,2LDK,1986年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75779913/,東比恵,地下鉄空港線,48,1986-06-01,38
東峰マンション博多駅東,1650,福岡県福岡市博多区比恵町,地下鉄空港線「東比恵」徒歩7分,42.82,2DK,1985年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76234114/,東比恵,地下鉄空港線,7,1985-04-01,39
福陵ハイデンス,1780,福岡県福岡市早良区荒江２,地下鉄空港線「藤崎」徒歩17分,63.25,3LDK,1974年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76150893/,藤崎,地下鉄空港線,17,1974-10-01,50
ロマネスク祇園,1850,福岡県福岡市博多区祇園町,地下鉄七隈線「櫛田神社前」徒歩3分,40.56,ワンルーム,1980年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76159579/,櫛田神社前,地下鉄七隈線,3,1980-07-01,44
サーパス大博通り,1880,福岡県福岡市博多区大博町,地下鉄空港線「中洲川端」徒歩15分,54.1,1LDK,1990年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75504244/,中洲川端,地下鉄空港線,15,1990-03-01,34
ダイアパレスマインズ原,1890,福岡県福岡市早良区原５-2-27,地下鉄空港線「藤崎」徒歩27分,61.5,3LDK,1989年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75516057/,藤崎,地下鉄空港線,27,1989-06-01,35
ロマネスク祇園,1980,福岡県福岡市博多区祇園町,地下鉄七隈線「櫛田神社前」徒歩3分,40.56,ワンルーム,1980年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76229000/,櫛田神社前,地下鉄七隈線,3,1980-07-01,44
ハイツ高宮,1990,福岡県福岡市南区高宮１-11-22,地下鉄七隈線「薬院」徒歩21分,70.29,2LDK+S（納戸）,1974年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75531024/,薬院,地下鉄七隈線,21,1974-03-01,50
東峰マンション大宮,1995,福岡県福岡市中央区大宮１,西鉄天神大牟田線「薬院」徒歩7分,60.05,2LDK,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76164873/,薬院,西鉄天神大牟田線,7,1978-07-01,46
ロワールマンション西公園2,2000,福岡県福岡市中央区港３,地下鉄空港線「大濠公園」徒歩15分,62.17,3LDK,1984年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75815702/,大濠公園,地下鉄空港線,15,1984-02-01,40
ロワールマンション西公園２,2000,福岡県福岡市中央区港３-11-5,地下鉄空港線「大濠公園」徒歩16分,62.17,3LDK,1984年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76183917/,大濠公園,地下鉄空港線,16,1984-02-01,40
メゾン高砂,2090,福岡県福岡市中央区高砂２,西鉄天神大牟田線「薬院」徒歩13分,80.13,3LDK,1978年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75552672/,薬院,西鉄天神大牟田線,13,1978-03-01,46
ライオンズマンション薬院,2098,福岡県福岡市中央区薬院３,地下鉄七隈線「薬院大通」徒歩8分,40.87,1LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76156558/,薬院大通,地下鉄七隈線,8,1979-08-01,45
ライオンズマンションマキシム萩の宮,2098,福岡県福岡市南区高宮１,地下鉄七隈線「薬院大通」徒歩23分,62.49,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75577795/,薬院大通,地下鉄七隈線,23,1981-03-01,43
コープ東薬院,2100,福岡県福岡市中央区高砂１,地下鉄七隈線「薬院」徒歩6分,69.92,3LDK,1980年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76225824/,薬院,地下鉄七隈線,6,1980-09-01,44
高宮ハウスB棟,2150,福岡県福岡市南区高宮４,地下鉄七隈線「薬院大通」徒歩26分,75.57,3LDK,1982年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74249250/,薬院大通,地下鉄七隈線,26,1982-11-01,42
グランピア荒江,2198,福岡県福岡市早良区荒江２,地下鉄空港線「西新」徒歩17分,70.92,2LDK+S（納戸）,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75128328/,西新,地下鉄空港線,17,1980-03-01,44
グランピア荒江,2198,福岡県福岡市早良区荒江２-3-16,地下鉄空港線「西新」徒歩17分,70.92,2LDK+S（納戸）,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75128247/,西新,地下鉄空港線,17,1980-03-01,44
ライオンズマンション薬院,2198,福岡県福岡市中央区薬院３,地下鉄七隈線「薬院大通」徒歩7分,40.87,1LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76143754/,薬院大通,地下鉄七隈線,7,1979-08-01,45
高宮ハウスB棟,2199,福岡県福岡市南区高宮４,地下鉄七隈線「薬院」徒歩25分,76.57,3LDK,1982年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_76203971/,薬院,地下鉄七隈線,25,1982-11-01,42
ライオンズマンション西公園,2280,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩8分,85.37,4LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75832134/,大濠公園,地下鉄空港線,8,1979-11-01,45
シャンボール大濠,2298,福岡県福岡市中央区鳥飼３,地下鉄空港線「西新」徒歩11分,72.49,2LDK,1978年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75041690/,西新,地下鉄空港線,11,1978-08-01,46
シャンボール大濠,2298,福岡県福岡市中央区鳥飼３,地下鉄空港線「西新」徒歩11分,72.49,2LDK+S（納戸）,1978年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75767560/,西新,地下鉄空港線,11,1978-08-01,46
プレスタイル博多EAST,2380,福岡県福岡市博多区堅粕３,地下鉄空港線「祇園」徒歩15分,41.95,2LDK,2009年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76120246/,祇園,地下鉄空港線,15,2009-04-01,15
東薬院パークマンション,2430,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩5分,77.08,2LDK,1986年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75854973/,薬院大通,地下鉄七隈線,5,1986-10-01,38
コープ野村白金,2450,福岡県福岡市中央区白金１,西鉄天神大牟田線「薬院」徒歩7分,64.54,3LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76166506/,薬院,西鉄天神大牟田線,7,1983-08-01,41
プレスタイル博多ＥＡＳＴ,2480,福岡県福岡市博多区堅粕３,ＪＲ鹿児島本線「博多」徒歩13分,41.95,2LDK,2009年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76183463/,博多,ＪＲ鹿児島本線,13,2009-04-01,15
メゾン西新,2480,福岡県福岡市早良区西新１,地下鉄空港線「西新」徒歩4分,56.73,1LDK,1980年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74555128/,西新,地下鉄空港線,4,1980-02-01,44
ライオンズマンション西新,2490,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩5分,66.36,2LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75966067/,藤崎,地下鉄空港線,5,1982-02-01,42
高取パークファミリア,2500,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩3分,69.38,3LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75940462/,藤崎,地下鉄空港線,3,1982-02-01,42
秀和警固レジデンス,2580,福岡県福岡市中央区警固２,地下鉄空港線「赤坂」徒歩8分,54.88,1LDK,1974年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75556725/,赤坂,地下鉄空港線,8,1974-07-01,50
ライオンズマンション西公園第六,2580,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩7分,60.48,2LDK+S（納戸）,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75552989/,大濠公園,地下鉄空港線,7,1985-03-01,39
Asobi+　藤和大手門コープ,2590,福岡県福岡市中央区大手門３,地下鉄空港線「大濠公園」徒歩2分,67.2,3LDK,1982年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75417962/,大濠公園,地下鉄空港線,2,1982-10-01,42
東急ドエルアルス桜坂,2600,福岡県福岡市中央区桜坂１,地下鉄七隈線「桜坂」徒歩7分,55.05,2LDK,1996年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75971156/,桜坂,地下鉄七隈線,7,1996-03-01,28
コープ野村南薬院,2680,福岡県福岡市中央区薬院４-18-21,地下鉄七隈線「薬院大通」徒歩4分,83.34,3LDK,1981年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76213636/,薬院大通,地下鉄七隈線,4,1981-07-01,43
東峰マンション平和,2740,福岡県福岡市中央区平和３,地下鉄七隈線「桜坂」徒歩28分,68.2,2LDK,1998年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76213974/,桜坂,地下鉄七隈線,28,1998-10-01,26
東峰マンション平和,2740,福岡県福岡市中央区平和３,地下鉄七隈線「桜坂」徒歩28分,68.2,2LDK,1998年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76100927/,桜坂,地下鉄七隈線,28,1998-10-01,26
大濠ハウス,2780,福岡県福岡市中央区草香江２-18-1,地下鉄七隈線「六本松」徒歩11分,81.29,3LDK,1978年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76250307/,六本松,地下鉄七隈線,11,1978-08-01,46
藤和友泉亭ホームズ,2790,福岡県福岡市中央区笹丘１-25-17,地下鉄七隈線「六本松」徒歩23分,70.51,3LDK,1996年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75534288/,六本松,地下鉄七隈線,23,1996-08-01,28
ロマネスク西公園第7,2790,福岡県福岡市中央区港３,地下鉄空港線「大濠公園」徒歩14分,69.3,3LDK,1991年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76148085/,大濠公園,地下鉄空港線,14,1991-11-01,33
Asobi+ ライオンズマンション大名,2790,福岡県福岡市中央区大名１,地下鉄空港線「赤坂」徒歩10分,62.08,3DK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75881057/,赤坂,地下鉄空港線,10,1982-02-01,42
ロワールマンション大濠II,2850,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩3分,67.29,3LDK,1986年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75122522/,大濠公園,地下鉄空港線,3,1986-10-01,38
コープ東薬院,2870,福岡県福岡市中央区高砂１,地下鉄七隈線「渡辺通」徒歩7分,22.63,3LDK,1980年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76209961/,渡辺通,地下鉄七隈線,7,1980-09-01,44
朝日プラザ六本松　リフォーム済,2990,福岡県福岡市中央区六本松２-10-17,地下鉄七隈線「六本松」徒歩2分,58.48,2LDK,1987年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75515241/,六本松,地下鉄七隈線,2,1987-10-01,37
リベーラガーデンE棟(セントラルイースト),3090,福岡県福岡市西区愛宕浜２,地下鉄空港線「藤崎」徒歩32分,73.26,3LDK,1996年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_75063694/,藤崎,地下鉄空港線,32,1996-02-01,28
シティマンション大名,3200,福岡県福岡市中央区大名１,地下鉄空港線「赤坂」徒歩5分,64.98,3LDK,1987年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76210164/,赤坂,地下鉄空港線,5,1987-01-01,37
デュオヴェール薬院est,3200,福岡県福岡市中央区高砂１,地下鉄七隈線「薬院」徒歩7分,33.37,1LDK,2021年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75586681/,薬院,地下鉄七隈線,7,2021-01-01,3
【価格改定】アクロス天神セントラルグロー,3230,福岡県福岡市中央区春吉２-18-1,地下鉄七隈線「渡辺通」徒歩6分,32.91,1LDK,2023年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75714766/,渡辺通,地下鉄七隈線,6,2023-04-01,1
日商岩井今泉マンション,3390,福岡県福岡市中央区今泉２,地下鉄七隈線「薬院大通」徒歩7分,68.75,3LDK,1974年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76063899/,薬院大通,地下鉄七隈線,7,1974-07-01,50
原パーク・ホームズ,3390,福岡県福岡市早良区原２,地下鉄空港線「藤崎」徒歩20分,69.75,3LDK,1994年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76119513/,藤崎,地下鉄空港線,20,1994-01-01,30
ロワールマンション大名,3480,福岡県福岡市中央区大名１,地下鉄空港線「赤坂」徒歩8分,68.04,2LDK+S（納戸）,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76085245/,赤坂,地下鉄空港線,8,1980-03-01,44
ヴィクトリア城南グレース,3499,福岡県福岡市城南区荒江１-19-20,地下鉄七隈線「別府」徒歩17分,87.08,4LDK,1996年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76226149/,別府,地下鉄七隈線,17,1996-05-01,28
ヴィクトリア城南グレース,3499,福岡県福岡市城南区荒江１,地下鉄空港線「西新」徒歩25分,87.08,4LDK,1996年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76220690/,西新,地下鉄空港線,25,1996-05-01,28
ヴィクトリア城南グレース,3499,福岡県福岡市城南区荒江１,地下鉄七隈線「別府」徒歩17分,87.08,4LDK,1996年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_75988495/,別府,地下鉄七隈線,17,1996-05-01,28
ヴィクトリア城南グレース,3499,福岡県福岡市城南区荒江１-19-20,地下鉄七隈線「別府」徒歩15分,87.08,4LDK,1996年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76215721/,別府,地下鉄七隈線,15,1996-05-01,28
プレサンスロジェ博多駅北,3580,福岡県福岡市博多区吉塚３,地下鉄空港線「東比恵」徒歩16分,57.09,2LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_73728236/,東比恵,地下鉄空港線,16,2019-09-01,5
オープンレジデンシア博多住吉,3590,福岡県福岡市博多区住吉２,ＪＲ鹿児島本線「博多」徒歩9分,34.0,1LDK,2023年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75807654/,博多,ＪＲ鹿児島本線,9,2023-08-01,1
東峰マンション渡辺通,3598,福岡県福岡市中央区春吉２,地下鉄七隈線「渡辺通」徒歩5分,70.98,3LDK,1986年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75382593/,渡辺通,地下鉄七隈線,5,1986-02-01,38
オリエントハイツ別府,3880,福岡県福岡市城南区別府１,地下鉄七隈線「別府」徒歩1分,69.72,3LDK,1990年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76118790/,別府,地下鉄七隈線,1,1990-05-01,34
東急ドエル・アルス博多ステーションサイド,3890,福岡県福岡市博多区比恵町,地下鉄空港線「東比恵」徒歩8分,76.15,3LDK,2000年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75810702/,東比恵,地下鉄空港線,8,2000-02-01,24
アクロス天神センタープラザ,3980,福岡県福岡市中央区渡辺通３,地下鉄七隈線「渡辺通」徒歩5分,60.61,1LDK,2005年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75568564/,渡辺通,地下鉄七隈線,5,2005-07-01,19
平尾山荘ヒルズ,3980,福岡県福岡市中央区平尾５-2-25,地下鉄七隈線「薬院大通」徒歩15分,83.42,3LDK,1997年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76168168/,薬院大通,地下鉄七隈線,15,1997-08-01,27
アメックス大濠公園,3980,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩4分,54.08,2LDK,2004年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76197785/,大濠公園,地下鉄空港線,4,2004-07-01,20
藤和櫻坂ホームズ,4198,福岡県福岡市中央区桜坂２,地下鉄七隈線「桜坂」徒歩7分,68.91,3LDK,1995年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75931390/,桜坂,地下鉄七隈線,7,1995-11-01,29
エンゼルハイム鳥飼中央,4390,福岡県福岡市中央区鳥飼１,地下鉄空港線「西新」徒歩13分,85.12,4LDK,2001年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76197783/,西新,地下鉄空港線,13,2001-03-01,23
Asobi+　プレサンスロジェ博多駅北,4390,福岡県福岡市博多区吉塚３,地下鉄空港線「東比恵」徒歩19分,71.14,3LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74949305/,東比恵,地下鉄空港線,19,2019-09-01,5
コアマンション博多駅南,4490,福岡県福岡市博多区博多駅南３,ＪＲ鹿児島本線「博多」徒歩20分,78.38,3LDK,1996年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76156659/,博多,ＪＲ鹿児島本線,20,1996-03-01,28
東急ドエルアルス桜坂,4498,福岡県福岡市中央区桜坂１,地下鉄七隈線「桜坂」徒歩6分,77.6,3LDK,1996年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76035725/,桜坂,地下鉄七隈線,6,1996-03-01,28
コモダス天神,4580,福岡県福岡市中央区今泉２,地下鉄七隈線「薬院」徒歩7分,58.3,3LDK,1997年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76157179/,薬院,地下鉄七隈線,7,1997-05-01,27
エイルマンション吉塚Ⅲ,4580,福岡県福岡市博多区吉塚１,地下鉄空港線「祇園」徒歩18分,65.2,2LDK+S（納戸）,2023年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75399013/,祇園,地下鉄空港線,18,2023-05-01,1
デュレジア博多,4600,福岡県福岡市博多区半道橋１,地下鉄空港線「東比恵」徒歩18分,89.84,4LDK,2015年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75971782/,東比恵,地下鉄空港線,18,2015-08-01,9
エンゼルブレッサ西新中央,4999,福岡県福岡市早良区西新５,地下鉄空港線「西新」徒歩5分,75.67,3LDK,2000年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76140729/,西新,地下鉄空港線,5,2000-03-01,24
アーサー大濠倶楽部アネックス,5099,福岡県福岡市中央区荒戸３,地下鉄空港線「大濠公園」徒歩7分,70.83,3LDK,1998年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75538127/,大濠公園,地下鉄空港線,7,1998-01-01,26
コモダスパッソ天神,5200,福岡県福岡市中央区渡辺通５,地下鉄七隈線「天神南」徒歩4分,73.82,2LDK,2000年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75966027/,天神南,地下鉄七隈線,4,2000-10-01,24
ザ・ライオンズ大濠公園,5480,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩2分,43.86,2LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75524396/,大濠公園,地下鉄空港線,2,2024-01-01,0
コモダス奈良屋,5498,福岡県福岡市博多区奈良屋町,地下鉄空港線「中洲川端」徒歩11分,90.35,2LDK,2001年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76173356/,中洲川端,地下鉄空港線,11,2001-10-01,23
モントーレ室見ステーションスクエア,5780,福岡県福岡市早良区室見１,地下鉄空港線「藤崎」徒歩9分,62.35,3LDK,2022年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76132494/,藤崎,地下鉄空港線,9,2022-11-01,2
オープンレジデンシア平尾市崎,5790,福岡県福岡市南区市崎１-17-20,地下鉄七隈線「薬院大通」徒歩16分,66.0,3LDK,2022年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_76093627/,薬院大通,地下鉄七隈線,16,2022-07-01,2
ベルコリーヌ平尾,5850,福岡県福岡市中央区平尾４,地下鉄七隈線「薬院大通」徒歩12分,72.57,2LDK,2016年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76173357/,薬院大通,地下鉄七隈線,12,2016-02-01,8
クリオ渡辺通アーバンマークス,5980,福岡県福岡市中央区清川２,地下鉄七隈線「渡辺通」徒歩10分,62.45,2LDK,2023年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76014229/,渡辺通,地下鉄七隈線,10,2023-02-01,1
ライオンズ藤崎,6180,福岡県福岡市早良区藤崎２,地下鉄空港線「藤崎」徒歩8分,95.05,4LDK,2008年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75785156/,藤崎,地下鉄空港線,8,2008-03-01,16
ブランシエラ赤坂はなみずき通り,6480,福岡県福岡市中央区桜坂１,地下鉄七隈線「桜坂」徒歩5分,60.26,2LDK,2020年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75672030/,桜坂,地下鉄七隈線,5,2020-08-01,4
パークハウス西新７丁目,6480,福岡県福岡市早良区西新７,地下鉄空港線「西新」徒歩11分,91.02,4LDK,2005年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75470141/,西新,地下鉄空港線,11,2005-02-01,19
MJR桜坂プレシャス,6490,福岡県福岡市中央区桜坂１,地下鉄七隈線「桜坂」徒歩2分,88.95,3LDK,2005年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76009683/,桜坂,地下鉄七隈線,2,2005-03-01,19
アーバンパレス大濠,6850,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩4分,92.4,3LDK,1992年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75751412/,大濠公園,地下鉄空港線,4,1992-06-01,32
コアマンション大手門タワー,7180,福岡県福岡市中央区大手門１,地下鉄空港線「赤坂」徒歩6分,101.32,3LDK,2003年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75426801/,赤坂,地下鉄空港線,6,2003-08-01,21
インプレスト天神オークタワー,7180,福岡県福岡市中央区長浜２,地下鉄空港線「赤坂」徒歩8分,75.23,3LDK,2020年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76092283/,赤坂,地下鉄空港線,8,2020-05-01,4
天神ロイヤルガーデン,7280,福岡県福岡市中央区今泉２,西鉄天神大牟田線「薬院」徒歩8分,90.44,4LDK,1998年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76124705/,薬院,西鉄天神大牟田線,8,1998-04-01,26
アーバンパレスアクス大濠,7480,福岡県福岡市中央区荒戸３,地下鉄空港線「唐人町」徒歩8分,96.31,3LDK,1995年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75482407/,唐人町,地下鉄空港線,8,1995-10-01,29
クリオ福岡博多ミッドグレイス,7980,福岡県福岡市博多区古門戸町,地下鉄空港線「中洲川端」徒歩4分,67.56,2LDK,2024年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76100248/,中洲川端,地下鉄空港線,4,2024-07-01,0
レーベン福岡天神 ONE TOWER,8200,福岡県福岡市中央区天神５,地下鉄空港線「天神」徒歩8分,70.89,2LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75682342/,天神,地下鉄空港線,8,2024-01-01,0
グランドメゾン大濠南,8500,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩2分,98.79,4LDK,2001年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75202310/,六本松,地下鉄七隈線,2,2001-11-01,23
グランドサンリヤン大濠公園パークビュー,8980,福岡県福岡市中央区草香江１,地下鉄七隈線「六本松」徒歩8分,100.68,4LDK,2005年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76158966/,六本松,地下鉄七隈線,8,2005-03-01,19
ザ・パークハウス赤坂タワーレジデンス,9000,福岡県福岡市中央区長浜２,地下鉄空港線「赤坂」徒歩8分,91.3,4LDK,2019年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76153283/,赤坂,地下鉄空港線,8,2019-07-01,5
グランアルト天神タワー,9980,福岡県福岡市中央区今泉２,地下鉄空港線「天神」徒歩9分,102.07,2LDK,2004年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75263237/,天神,地下鉄空港線,9,2004-09-01,20
グランドパレス百道,11800,福岡県福岡市早良区百道３,地下鉄空港線「藤崎」徒歩8分,98.79,3LDK,2022年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76194421/,藤崎,地下鉄空港線,8,2022-01-01,2
プレミスト大濠二丁目,12000,福岡県福岡市中央区大濠２,地下鉄空港線「唐人町」徒歩7分,82.33,2LDK,2023年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73748454/,唐人町,地下鉄空港線,7,2023-03-01,1
ネクサス薬院,13800,福岡県福岡市中央区薬院１,地下鉄七隈線「薬院大通」徒歩4分,100.71,2LDK+S（納戸）,2015年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76020347/,薬院大通,地下鉄七隈線,4,2015-06-01,9
レーベン福岡天神ONE TOWER,25000,福岡県福岡市中央区天神５,地下鉄空港線「天神」徒歩8分,100.12,3LDK,2024年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74675008/,天神,地下鉄空港線,8,2024-02-01,0
