id,name,price,age,line,station_name,minutes,layout,area,address,url
20000398,エフグラン室見,5380,7,地下鉄空港線,藤崎,6,2LDK,59.49,福岡県福岡市早良区室見２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20000398/
20001055,クリオラベルヴィ呉服町,4599,8,地下鉄空港線,中洲川端,12,2LDK,47.0,福岡県福岡市博多区下呉服町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20001055/
20001594,赤坂エクセル,3790,52,地下鉄七隈線,桜坂,13,2LDK,79.5,福岡県福岡市中央区赤坂３-8-26,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20001594/
20001850,レジア赤坂テラス,7800,10,地下鉄空港線,赤坂,6,3LDK,75.44,福岡県福岡市中央区長浜２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20001850/
20002791,シティマンション薬院Ⅱ,2950,41,西鉄天神大牟田線,薬院,4,2LDK,57.42,福岡県福岡市中央区大宮１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20002791/
20003363,ブリリアタワー西新,16500,5,地下鉄空港線,西新,1,2LDK,79.93,福岡県福岡市早良区西新４-1-1,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20003363/
20003640,ヴェルドミール薬院,2899,46,地下鉄七隈線,薬院大通,6,2LDK,68.26,福岡県福岡市中央区薬院３-12-12,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20003640/
20005198,グランドメゾン大濠公園THE CLASS,12000,2,地下鉄空港線,大濠公園,4,2LDK,60.35,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005198/
20005385,ロワールマンション西公園東◆☆開放感のあるお部屋☆◆,4499,27,地下鉄空港線,大濠公園,6,3LDK,67.8,福岡県福岡市中央区港２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005385/
20005567,デュオヴェール博多駅,3580,3,ＪＲ鹿児島本線,博多,5,1LDK,31.35,福岡県福岡市博多区博多駅東１-５－１５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20005567/
20006431,ヴェルドミール薬院,2799,46,地下鉄七隈線,薬院大通,5,2LDK,68.26,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20006431/
20006864,モントーレ東比恵クレア,4499,7,地下鉄空港線,東比恵,3,1LDK+S（納戸）,42.77,福岡県福岡市博多区東比恵３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20006864/
20009984,コープ野村白金,3430,43,地下鉄七隈線,薬院,6,2LDK,64.54,福岡県福岡市中央区白金１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20009984/
20010345,赤坂エクセル,3499,52,地下鉄七隈線,桜坂,13,2LDK,79.5,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20010345/
20011012,ヴェルドミール薬院,2799,46,西鉄天神大牟田線,薬院,5,2LDK,68.26,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20011012/
20011250,ヴェルドミール薬院,2799,46,地下鉄七隈線,薬院大通,6,2LDK,68.26,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20011250/
20011979,ロイヤルアーク大濠公園,19800,25,地下鉄空港線,大濠公園,2,3LDK,124.77,福岡県福岡市中央区大手門１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20011979/
20013186,サンリベラ・プライム天神大名レジデンス,7220,34,地下鉄空港線,赤坂,4,1LDK,76.68,福岡県福岡市中央区大名２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20013186/
20013391,ダイアパレスセントラルコート薬院,6200,29,西鉄天神大牟田線,薬院,6,3LDK,76.78,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20013391/
20014031,ＭＪＲ博多ザ・レジデンス,8500,1,ＪＲ鹿児島本線,博多,13,3LDK,70.49,福岡県福岡市博多区美野島１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20014031/
20014573,ライオンズマンション薬院第2,2899,46,地下鉄七隈線,薬院大通,6,3LDK,81.48,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20014573/
20015800,シティマンション薬院,3380,42,地下鉄七隈線,薬院大通,3,2LDK,56.22,福岡県福岡市中央区薬院１-10-16,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20015800/
20017782,赤坂エクセル　リ ノ ベ ー シ ョ ン　V R 動…,2280,52,地下鉄七隈線,桜坂,13,1LDK,41.66,福岡県福岡市中央区赤坂３-8-26,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20017782/
20018633,シティマンション平尾Ⅱ,2280,41,地下鉄七隈線,薬院,11,3LDK,58.24,福岡県福岡市中央区平尾２-2-21,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20018633/
20020216,朝日プラザ桜坂,3480,40,地下鉄七隈線,桜坂,6,2LDK,67.26,福岡県福岡市中央区谷１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20020216/
20023189,MJR博多ザ・レジデンス,8480,1,地下鉄七隈線,博多,12,2LDK+S（納戸）,70.1,福岡県福岡市博多区美野島１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20023189/
20024816,グランドメゾン福岡The Central Luxe,11000,1,西鉄天神大牟田線,薬院,2,1LDK,51.35,福岡県福岡市中央区渡辺通２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20024816/
20025395,ビレッタ百道,2480,51,地下鉄空港線,藤崎,11,2LDK,60.5,福岡県福岡市早良区百道１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20025395/
20027276,ビレッタ百道,2480,51,地下鉄空港線,藤崎,12,2LDK,60.5,福岡県福岡市早良区百道１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20027276/
