name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
シティマンション輝国,950,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.43,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20230915/,六本松,地下鉄七隈線,15,1984-01-01,42,20230915
シティマンション輝国,1430,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.06,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20293641/,六本松,地下鉄七隈線,15,1984-01-01,42,20293641
ロマネスク渡辺通第2,1699,福岡県福岡市中央区高砂２-6-15,地下鉄七隈線「渡辺通」徒歩12分,33.29,1LDK,1989年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20320814/,渡辺通,地下鉄七隈線,12,1989-04-01,37,20320814
ロマネスク渡辺通第2,1699,福岡県福岡市中央区高砂２,地下鉄七隈線「渡辺通」徒歩12分,33.29,1LDK,1989年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20393142/,渡辺通,地下鉄七隈線,12,1989-04-01,37,20393142
藤和城西コーポ,1998,福岡県福岡市城南区別府４-13-29,地下鉄七隈線「別府」徒歩10分,52.82,2LDK,1974年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20576082/,別府,地下鉄七隈線,10,1974-07-01,52,20576082
パークハイツ桜坂,2290,福岡県福岡市中央区桜坂３-12-78,地下鉄七隈線「桜坂」徒歩4分,67.2,2LDK+2S（納戸）,1977年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20211012/,桜坂,地下鉄七隈線,4,1977-06-01,49,20211012
西新ビル,2380,福岡県福岡市早良区高取１-1-53,地下鉄空港線「藤崎」徒歩7分,66.69,2LDK,1972年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20817538/,藤崎,地下鉄空港線,7,1972-07-01,54,20817538
Asobi+　エクセレンス天神,2430,福岡県福岡市中央区那の津１,地下鉄空港線「天神」徒歩10分,67.8,2LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79016911/,天神,地下鉄空港線,10,1980-10-01,46,79016911
エクセレンス谷,2590,福岡県福岡市中央区谷１-16-58,地下鉄七隈線「六本松」徒歩7分,57.23,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20598329/,六本松,地下鉄七隈線,7,1979-08-01,47,20598329
エクセレンス谷,2590,福岡県福岡市中央区谷１,地下鉄七隈線「六本松」徒歩6分,57.23,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20040622/,六本松,地下鉄七隈線,6,1979-08-01,47,20040622
