name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
シティマンション輝国,950,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.43,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20230915/,六本松,地下鉄七隈線,15,1984-01-01,42,20230915
シティマンション輝国,1430,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.06,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20293641/,六本松,地下鉄七隈線,15,1984-01-01,42,20293641
藤和城西コーポ,1998,福岡県福岡市城南区別府４-13-29,地下鉄七隈線「別府」徒歩10分,52.82,2LDK,1974年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20576082/,別府,地下鉄七隈線,10,1974-07-01,52,20576082
ライオンズマンション昭代　中古マンション,2298,福岡県福岡市早良区昭代１,地下鉄空港線「西新」徒歩15分,58.8,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20527006/,西新,地下鉄空港線,15,1981-03-01,45,20527006
エクセレンス谷,2490,福岡県福岡市中央区谷１-16-58,地下鉄七隈線「六本松」徒歩7分,57.23,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20598329/,六本松,地下鉄七隈線,7,1979-08-01,47,20598329
エクセレンス谷,2490,福岡県福岡市中央区谷１,地下鉄七隈線「六本松」徒歩6分,57.23,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20040622/,六本松,地下鉄七隈線,6,1979-08-01,47,20040622
シティマンション薬院Ⅱ,2690,福岡県福岡市中央区大宮１,西鉄天神大牟田線「薬院」徒歩5分,48.8,2LDK,1985年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21052379/,薬院,西鉄天神大牟田線,5,1985-05-01,41,21052379
藤和城西コーポ,2749,福岡県福岡市城南区別府４,地下鉄七隈線「別府」徒歩10分,84.5,3LDK,1974年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20828572/,別府,地下鉄七隈線,10,1974-07-01,52,20828572
東峰マンション西公園　中古マンション,2780,福岡県福岡市中央区荒戸３,地下鉄空港線「大濠公園」徒歩7分,48.59,2LDK,1978年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21172028/,大濠公園,地下鉄空港線,7,1978-09-01,48,21172028
大濠ハウス　中古マンション,2980,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩12分,76.18,2LDK+S（納戸）,1978年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21167419/,六本松,地下鉄七隈線,12,1978-08-01,48,21167419
